Code du département,Libellé du département,Code de la commune,Libellé de la commune,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Non-Exprimés,% Non-Exp/Ins,% Non-Exp/Vot,Exprimés,% Exp/Ins,% Exp/Vot,Année,Numéro de tour
34,Hérault,022,Baillargues,5269.0,845.0,16.04,4424.0,83.96,87.0,1.65,1.97,4337.0,82.31,98.03,2017,1
34,Hérault,027,Beaulieu,1437.0,228.0,15.87,1209.0,84.13,28.0,1.95,2.32,1181.0,82.19,97.68,2017,1
34,Hérault,057,Castelnau-le-Lez,14320.0,2638.0,18.42,11682.0,81.58,211.0,1.47,1.81,11471.0,80.1,98.19,2017,1
34,Hérault,058,Castries,4928.0,835.0,16.94,4093.0,83.06,95.0,1.93,2.32,3998.0,81.13,97.68,2017,1
34,Hérault,077,Clapiers,4124.0,437.0,10.6,3687.0,89.4,87.0,2.11,2.36,3600.0,87.29,97.64,2017,1
34,Hérault,087,Cournonsec,2286.0,367.0,16.05,1919.0,83.95,48.0,2.1,2.5,1871.0,81.85,97.5,2017,1
34,Hérault,088,Cournonterral,4776.0,944.0,19.77,3832.0,80.23,93.0,1.95,2.43,3739.0,78.29,97.57,2017,1
34,Hérault,090,Le Crès,7418.0,1362.0,18.36,6056.0,81.64,157.0,2.12,2.59,5899.0,79.52,97.41,2017,1
34,Hérault,095,Fabrègues,5773.0,1033.0,17.89,4740.0,82.11,111.0,1.92,2.34,4629.0,80.18,97.66,2017,1
34,Hérault,116,Grabels,5435.0,891.0,16.39,4544.0,83.61,81.0,1.49,1.78,4463.0,82.12,98.22,2017,1
34,Hérault,120,Jacou,4760.0,650.0,13.66,4110.0,86.34,100.0,2.1,2.43,4010.0,84.24,97.57,2017,1
34,Hérault,123,Juvignac,7530.0,1500.0,19.92,6030.0,80.08,106.0,1.41,1.76,5924.0,78.67,98.24,2017,1
34,Hérault,129,Lattes,13639.0,2451.0,17.97,11188.0,82.03,219.0,1.61,1.96,10969.0,80.42,98.04,2017,1
34,Hérault,134,Lavérune,2458.0,398.0,16.19,2060.0,83.81,49.0,1.99,2.38,2011.0,81.81,97.62,2017,1
34,Hérault,164,Montaud,793.0,123.0,15.51,670.0,84.49,15.0,1.89,2.24,655.0,82.6,97.76,2017,1
34,Hérault,169,Montferrier-sur-Lez,3279.0,438.0,13.36,2841.0,86.64,42.0,1.28,1.48,2799.0,85.36,98.52,2017,1
34,Hérault,172,Montpellier,149758.0,37492.0,25.04,112266.0,74.96,2203.0,1.47,1.96,110063.0,73.49,98.04,2017,1
34,Hérault,179,Murviel-lès-Montpellier,1435.0,186.0,12.96,1249.0,87.04,33.0,2.3,2.64,1216.0,84.74,97.36,2017,1
34,Hérault,198,Pérols,7426.0,1276.0,17.18,6150.0,82.82,127.0,1.71,2.07,6023.0,81.11,97.93,2017,1
34,Hérault,202,Pignan,5683.0,901.0,15.85,4782.0,84.15,120.0,2.11,2.51,4662.0,82.03,97.49,2017,1
34,Hérault,217,Prades-le-Lez,4239.0,526.0,12.41,3713.0,87.59,86.0,2.03,2.32,3627.0,85.56,97.68,2017,1
34,Hérault,227,Restinclières,1435.0,257.0,17.91,1178.0,82.09,17.0,1.18,1.44,1161.0,80.91,98.56,2017,1
34,Hérault,244,Saint-Brès,2254.0,427.0,18.94,1827.0,81.06,69.0,3.06,3.78,1758.0,77.99,96.22,2017,1
34,Hérault,249,Saint-Drézéry,1980.0,301.0,15.2,1679.0,84.8,27.0,1.36,1.61,1652.0,83.43,98.39,2017,1
34,Hérault,256,Saint-Geniès-des-Mourgues,1614.0,252.0,15.61,1362.0,84.39,37.0,2.29,2.72,1325.0,82.09,97.28,2017,1
34,Hérault,259,Saint-Georges-d'Orques,4467.0,899.0,20.13,3568.0,79.87,65.0,1.46,1.82,3503.0,78.42,98.18,2017,1
34,Hérault,270,Saint-Jean-de-Védas,7893.0,1237.0,15.67,6656.0,84.33,132.0,1.67,1.98,6524.0,82.66,98.02,2017,1
34,Hérault,295,Saussan,1228.0,183.0,14.9,1045.0,85.1,17.0,1.38,1.63,1028.0,83.71,98.37,2017,1
34,Hérault,307,Sussargues,2227.0,316.0,14.19,1911.0,85.81,33.0,1.48,1.73,1878.0,84.33,98.27,2017,1
34,Hérault,327,Vendargues,5167.0,858.0,16.61,4309.0,83.39,109.0,2.11,2.53,4200.0,81.29,97.47,2017,1
34,Hérault,337,Villeneuve-lès-Maguelone,6964.0,1179.0,16.93,5785.0,83.07,149.0,2.14,2.58,5636.0,80.93,97.42,2017,1
35,Ille-et-Vilaine,001,Acigné,5041.0,594.0,11.78,4447.0,88.22,85.0,1.69,1.91,4362.0,86.53,98.09,2017,1
35,Ille-et-Vilaine,022,Bécherel,486.0,69.0,14.2,417.0,85.8,9.0,1.85,2.16,408.0,83.95,97.84,2017,1
35,Ille-et-Vilaine,024,Betton,8839.0,1060.0,11.99,7779.0,88.01,125.0,1.41,1.61,7654.0,86.59,98.39,2017,1
35,Ille-et-Vilaine,032,Bourgbarré,2812.0,402.0,14.3,2410.0,85.7,67.0,2.38,2.78,2343.0,83.32,97.22,2017,1
35,Ille-et-Vilaine,039,Brécé,1524.0,194.0,12.73,1330.0,87.27,31.0,2.03,2.33,1299.0,85.24,97.67,2017,1
35,Ille-et-Vilaine,047,Bruz,12497.0,2056.0,16.45,10441.0,83.55,202.0,1.62,1.93,10239.0,81.93,98.07,2017,1
35,Ille-et-Vilaine,051,Cesson-Sévigné,13218.0,1847.0,13.97,11371.0,86.03,191.0,1.44,1.68,11180.0,84.58,98.32,2017,1
35,Ille-et-Vilaine,055,Chantepie,7298.0,1168.0,16.0,6130.0,84.0,111.0,1.52,1.81,6019.0,82.47,98.19,2017,1
35,Ille-et-Vilaine,058,La Chapelle-Chaussée,865.0,97.0,11.21,768.0,88.79,20.0,2.31,2.6,748.0,86.47,97.4,2017,1
35,Ille-et-Vilaine,059,La Chapelle-des-Fougeretz,3305.0,441.0,13.34,2864.0,86.66,65.0,1.97,2.27,2799.0,84.69,97.73,2017,1
35,Ille-et-Vilaine,065,La Chapelle-Thouarault,1599.0,164.0,10.26,1435.0,89.74,33.0,2.06,2.3,1402.0,87.68,97.7,2017,1
35,Ille-et-Vilaine,066,Chartres-de-Bretagne,5801.0,1016.0,17.51,4785.0,82.49,97.0,1.67,2.03,4688.0,80.81,97.97,2017,1
35,Ille-et-Vilaine,076,Chavagne,3148.0,493.0,15.66,2655.0,84.34,53.0,1.68,2.0,2602.0,82.66,98.0,2017,1
35,Ille-et-Vilaine,079,Chevaigné,1698.0,163.0,9.6,1535.0,90.4,39.0,2.3,2.54,1496.0,88.1,97.46,2017,1
35,Ille-et-Vilaine,080,Cintré,1564.0,153.0,9.78,1411.0,90.22,37.0,2.37,2.62,1374.0,87.85,97.38,2017,1
35,Ille-et-Vilaine,081,Clayes,560.0,37.0,6.61,523.0,93.39,11.0,1.96,2.1,512.0,91.43,97.9,2017,1
35,Ille-et-Vilaine,088,Corps-Nuds,2334.0,302.0,12.94,2032.0,87.06,40.0,1.71,1.97,1992.0,85.35,98.03,2017,1
35,Ille-et-Vilaine,120,Gévezé,3710.0,532.0,14.34,3178.0,85.66,86.0,2.32,2.71,3092.0,83.34,97.29,2017,1
35,Ille-et-Vilaine,131,L'Hermitage,2945.0,340.0,11.54,2605.0,88.46,53.0,1.8,2.03,2552.0,86.66,97.97,2017,1
35,Ille-et-Vilaine,139,Laillé,3940.0,501.0,12.72,3439.0,87.28,84.0,2.13,2.44,3355.0,85.15,97.56,2017,1
35,Ille-et-Vilaine,144,Langan,751.0,98.0,13.05,653.0,86.95,20.0,2.66,3.06,633.0,84.29,96.94,2017,1
35,Ille-et-Vilaine,180,Miniac-sous-Bécherel,533.0,70.0,13.13,463.0,86.87,8.0,1.5,1.73,455.0,85.37,98.27,2017,1
35,Ille-et-Vilaine,189,Montgermont,2420.0,251.0,10.37,2169.0,89.63,48.0,1.98,2.21,2121.0,87.64,97.79,2017,1
35,Ille-et-Vilaine,196,Mordelles,5756.0,876.0,15.22,4880.0,84.78,101.0,1.75,2.07,4779.0,83.03,97.93,2017,1
35,Ille-et-Vilaine,204,Nouvoitou,2395.0,354.0,14.78,2041.0,85.22,40.0,1.67,1.96,2001.0,83.55,98.04,2017,1
35,Ille-et-Vilaine,206,Noyal-Châtillon-sur-Seiche,4931.0,670.0,13.59,4261.0,86.41,81.0,1.64,1.9,4180.0,84.77,98.1,2017,1
35,Ille-et-Vilaine,208,Orgères,3157.0,363.0,11.5,2794.0,88.5,77.0,2.44,2.76,2717.0,86.06,97.24,2017,1
35,Ille-et-Vilaine,210,Pacé,8314.0,899.0,10.81,7415.0,89.19,140.0,1.68,1.89,7275.0,87.5,98.11,2017,1
35,Ille-et-Vilaine,216,Parthenay-de-Bretagne,1063.0,120.0,11.29,943.0,88.71,27.0,2.54,2.86,916.0,86.17,97.14,2017,1
35,Ille-et-Vilaine,238,Rennes,117439.0,24622.0,20.97,92817.0,79.03,1505.0,1.28,1.62,91312.0,77.75,98.38,2017,1
35,Ille-et-Vilaine,240,Le Rheu,5880.0,874.0,14.86,5006.0,85.14,92.0,1.56,1.84,4914.0,83.57,98.16,2017,1
35,Ille-et-Vilaine,245,Romillé,2718.0,350.0,12.88,2368.0,87.12,67.0,2.47,2.83,2301.0,84.66,97.17,2017,1
35,Ille-et-Vilaine,250,Saint-Armel,1352.0,134.0,9.91,1218.0,90.09,26.0,1.92,2.13,1192.0,88.17,97.87,2017,1
35,Ille-et-Vilaine,266,Saint-Erblon,2210.0,271.0,12.26,1939.0,87.74,30.0,1.36,1.55,1909.0,86.38,98.45,2017,1
35,Ille-et-Vilaine,275,Saint-Gilles,3197.0,304.0,9.51,2893.0,90.49,57.0,1.78,1.97,2836.0,88.71,98.03,2017,1
35,Ille-et-Vilaine,278,Saint-Grégoire,7832.0,1171.0,14.95,6661.0,85.05,100.0,1.28,1.5,6561.0,83.77,98.5,2017,1
35,Ille-et-Vilaine,281,Saint-Jacques-de-la-Lande,7486.0,1464.0,19.56,6022.0,80.44,119.0,1.59,1.98,5903.0,78.85,98.02,2017,1
35,Ille-et-Vilaine,315,Saint-Sulpice-la-Forêt,1048.0,113.0,10.78,935.0,89.22,17.0,1.62,1.82,918.0,87.6,98.18,2017,1
35,Ille-et-Vilaine,334,Thorigné-Fouillard,6187.0,714.0,11.54,5473.0,88.46,94.0,1.52,1.72,5379.0,86.94,98.28,2017,1
35,Ille-et-Vilaine,351,Le Verger,1067.0,146.0,13.68,921.0,86.32,24.0,2.25,2.61,897.0,84.07,97.39,2017,1
35,Ille-et-Vilaine,352,Vern-sur-Seiche,6418.0,923.0,14.38,5495.0,85.62,106.0,1.65,1.93,5389.0,83.97,98.07,2017,1
35,Ille-et-Vilaine,353,Vezin-le-Coquet,3427.0,426.0,12.43,3001.0,87.57,73.0,2.13,2.43,2928.0,85.44,97.57,2017,1
35,Ille-et-Vilaine,363,Pont-Péan,3247.0,466.0,14.35,2781.0,85.65,79.0,2.43,2.84,2702.0,83.22,97.16,2017,1
38,Isère,057,Bresson,569.0,65.0,11.42,504.0,88.58,6.0,1.05,1.19,498.0,87.52,98.81,2017,1
38,Isère,059,Brié-et-Angonnes,2014.0,268.0,13.31,1746.0,86.69,17.0,0.84,0.97,1729.0,85.85,99.03,2017,1
38,Isère,068,Champagnier,917.0,121.0,13.2,796.0,86.8,18.0,1.96,2.26,778.0,84.84,97.74,2017,1
38,Isère,071,Champ-sur-Drac,2325.0,456.0,19.61,1869.0,80.39,50.0,2.15,2.68,1819.0,78.24,97.32,2017,1
38,Isère,111,Claix,6547.0,1078.0,16.47,5469.0,83.53,104.0,1.59,1.9,5365.0,81.95,98.1,2017,1
38,Isère,126,Corenc,3373.0,603.0,17.88,2770.0,82.12,25.0,0.74,0.9,2745.0,81.38,99.1,2017,1
38,Isère,150,Domène,4887.0,931.0,19.05,3956.0,80.95,80.0,1.64,2.02,3876.0,79.31,97.98,2017,1
38,Isère,151,Echirolles,20849.0,5587.0,26.8,15262.0,73.2,320.0,1.53,2.1,14942.0,71.67,97.9,2017,1
38,Isère,158,Eybens,6814.0,1364.0,20.02,5450.0,79.98,118.0,1.73,2.17,5332.0,78.25,97.83,2017,1
38,Isère,169,Fontaine,13075.0,3268.0,24.99,9807.0,75.01,233.0,1.78,2.38,9574.0,73.22,97.62,2017,1
38,Isère,170,Fontanil-Cornillon,2311.0,498.0,21.55,1813.0,78.45,37.0,1.6,2.04,1776.0,76.85,97.96,2017,1
38,Isère,179,Gières,4294.0,788.0,18.35,3506.0,81.65,70.0,1.63,2.0,3436.0,80.02,98.0,2017,1
38,Isère,185,Grenoble,84842.0,20913.0,24.65,63929.0,75.35,1128.0,1.33,1.76,62801.0,74.02,98.24,2017,1
38,Isère,187,Le Gua,1470.0,260.0,17.69,1210.0,82.31,30.0,2.04,2.48,1180.0,80.27,97.52,2017,1
38,Isère,188,Herbeys,1092.0,131.0,12.0,961.0,88.0,11.0,1.01,1.14,950.0,87.0,98.86,2017,1
38,Isère,200,Jarrie,3002.0,462.0,15.39,2540.0,84.61,70.0,2.33,2.76,2470.0,82.28,97.24,2017,1
38,Isère,229,Meylan,14185.0,2510.0,17.69,11675.0,82.31,396.0,2.79,3.39,11279.0,79.51,96.61,2017,1
38,Isère,235,Miribel-Lanchâtre,289.0,28.0,9.69,261.0,90.31,4.0,1.38,1.53,257.0,88.93,98.47,2017,1
38,Isère,252,Montchaboud,283.0,35.0,12.37,248.0,87.63,8.0,2.83,3.23,240.0,84.81,96.77,2017,1
38,Isère,258,Mont-Saint-Martin,96.0,14.0,14.58,82.0,85.42,1.0,1.04,1.22,81.0,84.38,98.78,2017,1
38,Isère,271,Murianette,651.0,88.0,13.52,563.0,86.48,17.0,2.61,3.02,546.0,83.87,96.98,2017,1
38,Isère,277,Notre-Dame-de-Commiers,405.0,78.0,19.26,327.0,80.74,4.0,0.99,1.22,323.0,79.75,98.78,2017,1
38,Isère,279,Notre-Dame-de-Mésage,928.0,145.0,15.63,783.0,84.38,19.0,2.05,2.43,764.0,82.33,97.57,2017,1
38,Isère,281,Noyarey,1742.0,328.0,18.83,1414.0,81.17,28.0,1.61,1.98,1386.0,79.56,98.02,2017,1
38,Isère,309,Poisat,1577.0,249.0,15.79,1328.0,84.21,24.0,1.52,1.81,1304.0,82.69,98.19,2017,1
38,Isère,317,Le Pont-de-Claix,6643.0,2021.0,30.42,4622.0,69.58,101.0,1.52,2.19,4521.0,68.06,97.81,2017,1
38,Isère,325,Proveysieux,404.0,66.0,16.34,338.0,83.66,1.0,0.25,0.3,337.0,83.42,99.7,2017,1
38,Isère,328,Quaix-en-Chartreuse,763.0,130.0,17.04,633.0,82.96,16.0,2.1,2.53,617.0,80.87,97.47,2017,1
38,Isère,364,Saint-Barthélemy-de-Séchilienne,354.0,60.0,16.95,294.0,83.05,5.0,1.41,1.7,289.0,81.64,98.3,2017,1
38,Isère,382,Saint-Egrève,11880.0,2692.0,22.66,9188.0,77.34,171.0,1.44,1.86,9017.0,75.9,98.14,2017,1
38,Isère,388,Saint-Georges-de-Commiers,1674.0,298.0,17.8,1376.0,82.2,31.0,1.85,2.25,1345.0,80.35,97.75,2017,1
38,Isère,421,Saint-Martin-d'Hères,18577.0,5057.0,27.22,13520.0,72.78,301.0,1.62,2.23,13219.0,71.16,97.77,2017,1
38,Isère,423,Saint-Martin-le-Vinoux,3872.0,1213.0,31.33,2659.0,68.67,43.0,1.11,1.62,2616.0,67.56,98.38,2017,1
38,Isère,436,Saint-Paul-de-Varces,1870.0,317.0,16.95,1553.0,83.05,32.0,1.71,2.06,1521.0,81.34,97.94,2017,1
38,Isère,445,Saint-Pierre-de-Mésage,549.0,82.0,14.94,467.0,85.06,19.0,3.46,4.07,448.0,81.6,95.93,2017,1
38,Isère,471,Le Sappey-en-Chartreuse,943.0,165.0,17.5,778.0,82.5,10.0,1.06,1.29,768.0,81.44,98.71,2017,1
38,Isère,472,Sarcenas,184.0,31.0,16.85,153.0,83.15,1.0,0.54,0.65,152.0,82.61,99.35,2017,1
38,Isère,474,Sassenage,7945.0,1410.0,17.75,6535.0,82.25,166.0,2.09,2.54,6369.0,80.16,97.46,2017,1
38,Isère,478,Séchilienne,740.0,145.0,19.59,595.0,80.41,16.0,2.16,2.69,579.0,78.24,97.31,2017,1
38,Isère,485,Seyssinet-Pariset,8364.0,1605.0,19.19,6759.0,80.81,156.0,1.87,2.31,6603.0,78.95,97.69,2017,1
38,Isère,486,Seyssins,5636.0,908.0,16.11,4728.0,83.89,74.0,1.31,1.57,4654.0,82.58,98.43,2017,1
38,Isère,516,La Tronche,4107.0,709.0,17.26,3398.0,82.74,53.0,1.29,1.56,3345.0,81.45,98.44,2017,1
38,Isère,524,Varces-Allières-et-Risset,5113.0,993.0,19.42,4120.0,80.58,73.0,1.43,1.77,4047.0,79.15,98.23,2017,1
38,Isère,528,Vaulnaveys-le-Bas,979.0,176.0,17.98,803.0,82.02,13.0,1.33,1.62,790.0,80.69,98.38,2017,1
38,Isère,529,Vaulnaveys-le-Haut,3060.0,649.0,21.21,2411.0,78.79,39.0,1.27,1.62,2372.0,77.52,98.38,2017,1
38,Isère,533,Venon,627.0,99.0,15.79,528.0,84.21,17.0,2.71,3.22,511.0,81.5,96.78,2017,1
38,Isère,540,Veurey-Voroize,1076.0,202.0,18.77,874.0,81.23,15.0,1.39,1.72,859.0,79.83,98.28,2017,1
38,Isère,545,Vif,6365.0,1181.0,18.55,5184.0,81.45,107.0,1.68,2.06,5077.0,79.76,97.94,2017,1
38,Isère,562,Vizille,4961.0,1347.0,27.15,3614.0,72.85,84.0,1.69,2.32,3530.0,71.16,97.68,2017,1
42,Loire,001,Aboën,330.0,44.0,13.33,286.0,86.67,6.0,1.82,2.1,280.0,84.85,97.9,2017,1
42,Loire,005,Andrézieux-Bouthéon,6057.0,1483.0,24.48,4574.0,75.52,104.0,1.72,2.27,4470.0,73.8,97.73,2017,1
42,Loire,031,Caloire,286.0,44.0,15.38,242.0,84.62,1.0,0.35,0.41,241.0,84.27,99.59,2017,1
42,Loire,032,Cellieu,1278.0,194.0,15.18,1084.0,84.82,26.0,2.03,2.4,1058.0,82.79,97.6,2017,1
42,Loire,036,Chagnon,381.0,51.0,13.39,330.0,86.61,10.0,2.62,3.03,320.0,83.99,96.97,2017,1
42,Loire,043,Chamboeuf,1343.0,166.0,12.36,1177.0,87.64,23.0,1.71,1.95,1154.0,85.93,98.05,2017,1
42,Loire,044,Le Chambon-Feugerolles,7750.0,2013.0,25.97,5737.0,74.03,163.0,2.1,2.84,5574.0,71.92,97.16,2017,1
42,Loire,053,Châteauneuf,1284.0,208.0,16.2,1076.0,83.8,25.0,1.95,2.32,1051.0,81.85,97.68,2017,1
42,Loire,083,Dargoire,397.0,60.0,15.11,337.0,84.89,10.0,2.52,2.97,327.0,82.37,97.03,2017,1
42,Loire,085,Doizieux,693.0,109.0,15.73,584.0,84.27,17.0,2.45,2.91,567.0,81.82,97.09,2017,1
42,Loire,092,L'Etrat,2096.0,333.0,15.89,1763.0,84.11,38.0,1.81,2.16,1725.0,82.3,97.84,2017,1
42,Loire,093,Farnay,1019.0,130.0,12.76,889.0,87.24,13.0,1.28,1.46,876.0,85.97,98.54,2017,1
42,Loire,095,Firminy,11104.0,2920.0,26.3,8184.0,73.7,251.0,2.26,3.07,7933.0,71.44,96.93,2017,1
42,Loire,096,Fontanès,483.0,70.0,14.49,413.0,85.51,13.0,2.69,3.15,400.0,82.82,96.85,2017,1
42,Loire,097,La Fouillouse,3475.0,604.0,17.38,2871.0,82.62,53.0,1.53,1.85,2818.0,81.09,98.15,2017,1
42,Loire,099,Fraisses,2763.0,515.0,18.64,2248.0,81.36,78.0,2.82,3.47,2170.0,78.54,96.53,2017,1
42,Loire,100,La Gimond,214.0,28.0,13.08,186.0,86.92,8.0,3.74,4.3,178.0,83.18,95.7,2017,1
42,Loire,103,La Grand-Croix,2956.0,703.0,23.78,2253.0,76.22,53.0,1.79,2.35,2200.0,74.42,97.65,2017,1
42,Loire,110,L'Horme,2962.0,704.0,23.77,2258.0,76.23,46.0,1.55,2.04,2212.0,74.68,97.96,2017,1
42,Loire,123,Lorette,2971.0,656.0,22.08,2315.0,77.92,55.0,1.85,2.38,2260.0,76.07,97.62,2017,1
42,Loire,133,Marcenod,491.0,49.0,9.98,442.0,90.02,16.0,3.26,3.62,426.0,86.76,96.38,2017,1
42,Loire,167,Pavezin,268.0,32.0,11.94,236.0,88.06,9.0,3.36,3.81,227.0,84.7,96.19,2017,1
42,Loire,183,La Ricamarie,4808.0,1737.0,36.13,3071.0,63.87,66.0,1.37,2.15,3005.0,62.5,97.85,2017,1
42,Loire,186,Rive-de-Gier,8224.0,2469.0,30.02,5755.0,69.98,130.0,1.58,2.26,5625.0,68.4,97.74,2017,1
42,Loire,189,Roche-la-Molière,7672.0,1726.0,22.5,5946.0,77.5,140.0,1.82,2.35,5806.0,75.68,97.65,2017,1
42,Loire,192,Rozier-Côtes-d'Aurec,360.0,69.0,19.17,291.0,80.83,4.0,1.11,1.37,287.0,79.72,98.63,2017,1
42,Loire,206,Saint-Bonnet-les-Oules,1331.0,190.0,14.27,1141.0,85.73,23.0,1.73,2.02,1118.0,84.0,97.98,2017,1
42,Loire,207,Saint-Chamond,23999.0,7258.0,30.24,16741.0,69.76,516.0,2.15,3.08,16225.0,67.61,96.92,2017,1
42,Loire,208,Saint-Christo-en-Jarez,1317.0,128.0,9.72,1189.0,90.28,34.0,2.58,2.86,1155.0,87.7,97.14,2017,1
42,Loire,210,Sainte-Croix-en-Jarez,363.0,67.0,18.46,296.0,81.54,6.0,1.65,2.03,290.0,79.89,97.97,2017,1
42,Loire,218,Saint-Etienne,91822.0,24559.0,26.75,67263.0,73.25,1365.0,1.49,2.03,65898.0,71.77,97.97,2017,1
42,Loire,222,Saint-Galmier,4073.0,664.0,16.3,3409.0,83.7,89.0,2.19,2.61,3320.0,81.51,97.39,2017,1
42,Loire,223,Saint-Genest-Lerpt,4289.0,740.0,17.25,3549.0,82.75,82.0,1.91,2.31,3467.0,80.83,97.69,2017,1
42,Loire,225,Genilac,2854.0,559.0,19.59,2295.0,80.41,54.0,1.89,2.35,2241.0,78.52,97.65,2017,1
42,Loire,234,Saint-Héand,2865.0,494.0,17.24,2371.0,82.76,64.0,2.23,2.7,2307.0,80.52,97.3,2017,1
42,Loire,237,Saint-Jean-Bonnefonds,4779.0,1075.0,22.49,3704.0,77.51,125.0,2.62,3.37,3579.0,74.89,96.63,2017,1
42,Loire,242,Saint-Joseph,1415.0,268.0,18.94,1147.0,81.06,30.0,2.12,2.62,1117.0,78.94,97.38,2017,1
42,Loire,259,Saint-Martin-la-Plaine,2788.0,446.0,16.0,2342.0,84.0,61.0,2.19,2.6,2281.0,81.81,97.4,2017,1
42,Loire,262,Saint-Maurice-en-Gourgois,1206.0,179.0,14.84,1027.0,85.16,18.0,1.49,1.75,1009.0,83.67,98.25,2017,1
42,Loire,266,Saint-Nizier-de-Fornas,499.0,72.0,14.43,427.0,85.57,7.0,1.4,1.64,420.0,84.17,98.36,2017,1
42,Loire,270,Saint-Paul-en-Cornillon,1069.0,193.0,18.05,876.0,81.95,22.0,2.06,2.51,854.0,79.89,97.49,2017,1
42,Loire,271,Saint-Paul-en-Jarez,3021.0,506.0,16.75,2515.0,83.25,61.0,2.02,2.43,2454.0,81.23,97.57,2017,1
42,Loire,275,Saint-Priest-en-Jarez,4150.0,768.0,18.51,3382.0,81.49,87.0,2.1,2.57,3295.0,79.4,97.43,2017,1
42,Loire,283,Saint-Romain-en-Jarez,959.0,151.0,15.75,808.0,84.25,22.0,2.29,2.72,786.0,81.96,97.28,2017,1
42,Loire,302,Sorbiers,6140.0,1042.0,16.97,5098.0,83.03,126.0,2.05,2.47,4972.0,80.98,97.53,2017,1
